snapshot,severity,time_s,accel_g
0,0.0,0.0,0.0
0,0.0,5e-05,-0.04883
0,0.0,0.0001,0.11281
0,0.0,0.00015,0.20067
0,0.0,0.0002,-0.39428
0,0.0,0.00025,-0.3004
0,0.0,0.0003,0.11637
0,0.0,0.00035,-0.02923
0,0.0,0.0004,0.09274
0,0.0,0.00045,-0.26091
0,0.0,0.0005,0.53109
0,0.0,0.00055,0.51127
0,0.0,0.0006,0.18146
0,0.0,0.00065,0.72434
0,0.0,0.0007,0.40619
0,0.0,0.00075,-0.23552
0,0.0,0.0008,0.37253
0,0.0,0.00085,-0.22457
0,0.0,0.0009,0.59456
0,0.0,0.00095,0.21403
0,0.0,0.001,0.18055
0,0.0,0.00105,0.04854
0,0.0,0.0011,0.58421
0,0.0,0.00115,0.24898
0,0.0,0.0012,0.22799
0,0.0,0.00125,0.27118
0,0.0,0.0013,0.33379
0,0.0,0.00135,0.31787
0,0.0,0.0014,0.30381
0,0.0,0.00145,0.28877
0,0.0,0.0015,-0.06003
0,0.0,0.00155,0.473
0,0.0,0.0016,0.53566
0,0.0,0.00165,0.67339
0,0.0,0.0017,0.16774
0,0.0,0.00175,-0.05821
0,0.0,0.0018,0.47684
0,0.0,0.00185,0.8323
0,0.0,0.0019,0.84882
0,0.0,0.00195,0.13342
0,0.0,0.002,0.09559
0,0.0,0.00205,0.20809
0,0.0,0.0021,0.80958
0,0.0,0.00215,0.38886
0,0.0,0.0022,0.45532
0,0.0,0.00225,0.42661
0,0.0,0.0023,0.19953
0,0.0,0.00235,0.46097
0,0.0,0.0024,0.35004
0,0.0,0.00245,0.53789
0,0.0,0.0025,0.51003
0,0.0,0.00255,0.49182
0,0.0,0.0026,0.68082
0,0.0,0.00265,0.5924
0,0.0,0.0027,0.57465
0,0.0,0.00275,0.53751
0,0.0,0.0028,0.5692
0,0.0,0.00285,0.94955
0,0.0,0.0029,0.3965
0,0.0,0.00295,0.94622
0,0.0,0.003,0.03813
0,0.0,0.00305,0.51985
0,0.0,0.0031,0.73141
0,0.0,0.00315,0.93732
0,0.0,0.0032,1.01622
0,0.0,0.00325,1.07334
0,0.0,0.0033,0.51533
0,0.0,0.00335,0.46546
0,0.0,0.0034,1.12467
0,0.0,0.00345,0.61785
0,0.0,0.0035,0.1327
0,0.0,0.00355,0.23468
0,0.0,0.0036,0.36307
0,0.0,0.00365,0.91158
0,0.0,0.0037,0.78413
0,0.0,0.00375,0.92881
0,0.0,0.0038,0.65878
0,0.0,0.00385,0.78106
0,0.0,0.0039,0.82521
0,0.0,0.00395,0.75222
0,0.0,0.004,0.76414
0,0.0,0.00405,0.82422
0,0.0,0.0041,0.82785
0,0.0,0.00415,0.85614
0,0.0,0.0042,1.07671
0,0.0,0.00425,0.65167
0,0.0,0.0043,0.95521
0,0.0,0.00435,0.79643
0,0.0,0.0044,0.60601
0,0.0,0.00445,0.61032
0,0.0,0.0045,0.50069
0,0.0,0.00455,0.86328
0,0.0,0.0046,1.02875
0,0.0,0.00465,0.86168
0,0.0,0.0047,1.66309
0,0.0,0.00475,1.53197
0,0.0,0.0048,1.45179
0,0.0,0.00485,1.2781
0,0.0,0.0049,0.66889
0,0.0,0.00495,1.18296
0,0.0,0.005,0.96876
0,0.0,0.00505,0.45914
0,0.0,0.0051,0.93148
0,0.0,0.00515,0.70438
0,0.0,0.0052,0.975
0,0.0,0.00525,0.86557
0,0.0,0.0053,0.8698
0,0.0,0.00535,0.83908
0,0.0,0.0054,0.93579
0,0.0,0.00545,0.58745
0,0.0,0.0055,0.94714
0,0.0,0.00555,0.91925
0,0.0,0.0056,0.67356
0,0.0,0.00565,0.34634
0,0.0,0.0057,0.88777
0,0.0,0.00575,0.63387
0,0.0,0.0058,0.96633
0,0.0,0.00585,0.87135
0,0.0,0.0059,1.64739
0,0.0,0.00595,0.74218
0,0.0,0.006,0.35044
0,0.0,0.00605,0.95024
0,0.0,0.0061,0.96749
0,0.0,0.00615,1.48805
0,0.0,0.0062,1.22461
0,0.0,0.00625,1.00501
0,0.0,0.0063,1.39488
0,0.0,0.00635,0.47798
0,0.0,0.0064,0.6846
0,0.0,0.00645,0.65277
0,0.0,0.0065,0.79331
0,0.0,0.00655,0.7038
0,0.0,0.0066,0.89242
0,0.0,0.00665,0.85831
0,0.0,0.0067,0.95011
0,0.0,0.00675,0.97925
0,0.0,0.0068,0.799
0,0.0,0.00685,0.65958
0,0.0,0.0069,0.28894
0,0.0,0.00695,-0.1071
0,0.0,0.007,0.6971
0,0.0,0.00705,1.25374
0,0.0,0.0071,1.78547
0,0.0,0.00715,0.72334
0,0.0,0.0072,1.23919
0,0.0,0.00725,1.0509
0,0.0,0.0073,1.15011
0,0.0,0.00735,0.91303
0,0.0,0.0074,0.32057
0,0.0,0.00745,0.76615
0,0.0,0.0075,0.91069
0,0.0,0.00755,1.27503
0,0.0,0.0076,1.4856
0,0.0,0.00765,1.00436
0,0.0,0.0077,0.85033
0,0.0,0.00775,0.38417
0,0.0,0.0078,0.80524
0,0.0,0.00785,0.68688
0,0.0,0.0079,0.873
0,0.0,0.00795,0.86283
0,0.0,0.008,0.79802
0,0.0,0.00805,0.76125
0,0.0,0.0081,1.13319
0,0.0,0.00815,0.65763
0,0.0,0.0082,1.03373
0,0.0,0.00825,0.54705
0,0.0,0.0083,1.14239
0,0.0,0.00835,0.9668
0,0.0,0.0084,0.75052
0,0.0,0.00845,0.7971
0,0.0,0.0085,0.50469
0,0.0,0.00855,1.03134
0,0.0,0.0086,0.58578
0,0.0,0.00865,0.19863
0,0.0,0.0087,0.17777
0,0.0,0.00875,0.89272
0,0.0,0.0088,1.54205
0,0.0,0.00885,0.87789
0,0.0,0.0089,0.75828
0,0.0,0.00895,0.91212
0,0.0,0.009,1.23548
0,0.0,0.00905,0.86652
0,0.0,0.0091,0.70836
0,0.0,0.00915,1.00056
0,0.0,0.0092,0.85494
0,0.0,0.00925,0.90048
0,0.0,0.0093,0.8025
0,0.0,0.00935,0.86698
0,0.0,0.0094,0.95399
0,0.0,0.00945,0.52184
0,0.0,0.0095,0.41564
0,0.0,0.00955,0.84903
0,0.0,0.0096,0.92283
0,0.0,0.00965,0.26674
0,0.0,0.0097,1.24472
0,0.0,0.00975,1.18806
0,0.0,0.0098,0.50294
0,0.0,0.00985,0.98889
0,0.0,0.0099,0.80197
0,0.0,0.00995,0.88124
0,0.0,0.01,0.63147
0,0.0,0.01005,0.10918
0,0.0,0.0101,0.75723
0,0.0,0.01015,0.50778
0,0.0,0.0102,1.67718
0,0.0,0.01025,0.82078
0,0.0,0.0103,1.10115
0,0.0,0.01035,1.18124
